IBOV;;CDB;puCdb;;PETR36;puPet;;CPLD26;puCp;;TAEE26;puTae;;ITSA24;puIt;;Selic2026;puSelic26;;Selic2028;puSelic28;;Pre2024Primeiro;pu24p;;Pre2024Segundo;pu24s;;Ipca2026;puIpca26;;;;
-0,011460365;;0,000437393;6583,01135;;0,000487605;841,5740542;;-0,001671254;945,1006441;;-0,004026827;1058,118042;;0,00032673;863,9466418;;0,000459538;11528,43434;;0,000642766;11486,99656;;-0,003851912;819,533597;;-0,005029154;776,835677;;0,005405992;3136,07;;;;
-0,001035823;;0,000437393;6585,89071;;0,000608595;841,9844102;;0,000270193;943,5211411;;-0,000548324;1053,857184;;0,00049704;864,2289188;;0,000473632;11533,73209;;0,00067105;11494,38001;;-0,001992462;818,700347;;-0,003373343;775,55418;;-0,004112887;3132,62;;;;
0,016966398;;0,000437393;6588,77133;;0,001078756;842,496838;;0,007224816;943,7760739;;0,007590984;1053,279328;;0,000421948;864,6584755;;0,000555172;11539,19484;;0,000625501;11502,09332;;0,001893867;819,025049;;0,002702868;775,769007;;-0,002305713;3131,71;;;;
-0,028006086;;0,000472792;6591,65321;;0,000436183;843,4056868;;-0,004411497;950,5946825;;-0,003892583;1061,274755;;0,000499042;865,0233167;;0,000526975;11545,60108;;0,000555707;11509,28789;;0,001812699;820,636784;;0,002770863;777,604872;;0,004171381;3148,64;;;;
-0,001839079;;0,000472793;6594,76969;;0,000574321;843,7735657;;-0,004094105;946,4011367;;-0,00440907;1057,143655;;0,000463793;865,4549999;;0,000586526;11551,68532;;0,000560755;11515,68368;;-0,002031821;817,475763;;-0,002629147;773,694177;;-0,003243663;3135,69;;;;
-0,017676307;;0,000472792;6597,88765;;0,000781765;844,2581624;;0,001132114;942,5264713;;0,000839808;1052,482635;;0,000681685;865,8563918;;0,000485873;11558,46068;;0,000716442;11522,14115;;-0,001164835;815,846974;;-0,001593056;771,084241;;0,00056845;3128,46;;;;
-0,001367346;;0,000472791;6601,00708;;0,000637542;844,9181737;;-0,001648601;943,5935183;;-0,003425765;1053,366518;;0,000929819;866,4466329;;0,000551288;11564,07663;;0,000560726;11530,3961;;9,61056E-05;817,39208;;-0,000285365;773,16838;;0,002681051;3141,51;;;;
0,012467372;;0,000472792;6604,12798;;0,00060761;845,4568446;;0,001265246;942,0379092;;0,001983136;1049,757932;;0,000270003;867,2522716;;0,000444613;11570,45177;;0,000618326;11536,86149;;0,002417382;818,873766;;0,003072435;775,310724;;0,001168232;3131,32;;;;
0,012405713;;0,000472793;6607,25036;;0,001020385;845,9705526;;0,004229092;943,2298186;;0,005334972;1051,839744;;0,000543473;867,4864321;;0,000437568;11575,59615;;0,000485927;11543,99504;;0,001524845;817,209961;;0,00173342;773,272318;;0,006819981;3133,1;;;;
0,011678622;;0,000472792;6610,37422;;-1,01E-05;846,8337678;;0,003568195;947,2188244;;0,004758893;1057,45128;;0,000510128;867,9578873;;0,000478828;11580,66126;;0,000548578;11549,60458;;0,000599312;816,258046;;0,00094348;772,040452;;-0,001651603;3141,5;;;;
