IBOV;;;CDB;PETR36;CPLD26;TAEE26;ITSA24;;Média diária;Média Carteira Privada;;;2026;2028;IBOV;Média carteira pública;;;Média carteira total;;;Selic2026;Selic2028;Pre2024Primeiro;Pre2024Segundo;Ipca2026
-0,017139388;;;0,000401675;0,000409994;0,007300708;-0,000991988;8,09E-05;;0,000405834;0,000408912;1.000.408.912;;0,000433835;0,000396625;-0,017139388;0,000422672;1.000.422.672;;0,000415792;1.000.415.792;;0,0004177560219654590;0,0003966254289742540;-0,0006681895122632470;-0,0006283833688419670;0,0009388274573972960
-0,016033991;;;0,000401676;0,000593292;-0,006492533;-0,004333328;0,00024345;;0,000497484;0,000568382;1.000.568.382;;0,000429814;0,000402691;-0,016033991;0,000421677;1.000.421.677;;0,00049503;100.049.503;;0,0004378505791271140;0,0004026909249404230;0,0045077460952607200;0,0042130347836866000;-0,0028138406613186000
-0,008796489;;;0,000401676;0,000997572;0,005412332;0,002718799;0,000631245;;0,000699624;0,000920105;1.000.920.105;;0,000421776;0,000473784;-0,008796489;0,000437378;1.000.437.378;;0,000678742;1.000.678.742;;0,0004454280011475000;0,0004737839822129040;0,0032435902972432600;0,0048206431961215900;0,0040472018997341300
0,019778246;;;0,000401675;0,001480943;0,004129772;0,001044691;0,00043592;;0,000941309;0,001340638;1.001.340.638;;0,000417756;0,000438401;0,019778246;0,000423949;1.000.423.949;;0,000882294;1.000.882.294;;0,0004424136231988570;0,0004384009348548480;-0,0010712654298052200;-0,0015496733159356300;0,0026058932771250800
0,017673516;;;0,000437392;0,000523916;0,005610726;0,005923211;0,00044915;;0,000480654;0,000512668;1.000.512.668;;0,000437851;0,000479848;0,017673516;0,00045045;100.045.045;;0,000481559;1.000.481.559;;0,0004574845007506200;0,0004798479963186690;0,0012695496828498000;0,0024517727988123300;0,0026024102727761300
0,019725171;;;0,000437392;0,000772643;-0,000719116;0,007335411;0,000528192;;0,000605017;0,00072906;100.072.906;;0,000445428;0,000515226;0,019725171;0,000466367;1.000.466.367;;0,000597714;1.000.597.714;;0,0005117381756057410;0,0005152263159064920;0,0001230274668320650;0,0003938667988340680;0,0059427708866575200
0,007371553;;;0,000437393;0,000262207;-0,000931501;0,001815318;0,000436399;;0,0003498;0,000284981;1.000.284.981;;0,000442414;0,000693118;0,007371553;0,000517625;1.000.517.625;;0,000401303;1.000.401.303;;0,0005358437848679050;0,0006931183609218650;0,0058146130249275700;0,0075962552234673600;0,0025933694556533200
0,009583083;;;0,000437392;0,000551169;0,003768706;0,00640994;0,000569211;;0,000494281;0,000536378;1.000.536.378;;0,000457485;0,000503074;0,009583083;0,000471161;1.000.471.161;;0,00050377;100.050.377;;0,0004886211995897030;0,0005030742344477410;0,0038368672913418400;0,0056196342194130700;0,0136979170055898000
0,00162352;;;0,000437393;0,000440956;0,003888448;0,006468589;0,000521523;;0,000439174;0,000440493;1.000.440.493;;0,000511738;0,0004384;0,00162352;0,000489737;1.000.489.737;;0,000465115;1.000.465.115;;0,0005277932447976670;0,0004384003693014890;0,0012694154598176900;0,0014020910371612600;0,0074657525452888800
0,013637203;;;0,000437392;0,000811143;0,013229463;0,018231434;0,000614193;;0,000624267;0,000762555;1.000.762.555;;0,000535844;0,00034948;0,013637203;0,000479935;1.000.479.935;;0,000621245;1.000.621.245;;0,0004494427020325800;0,0003494801895546660;0,0006940254411789400;0,0015880689411398300;-0,0006499257682823360
